xai_case_id,domain,sample_id,confidence,true_class_name,predicted_class_name,predicted_cam_semantic_region,predicted_cam_disease_alignment,predicted_cam_background_bias,predicted_cam_attention_focus,predicted_cam_annotation_confidence,predicted_cam_note,true_cam_semantic_region,true_cam_disease_alignment,true_cam_background_bias,true_cam_attention_focus,true_cam_annotation_confidence,true_cam_note
XAI_009,internal,PV_TEST_00429,0.9998940833150056,Tomato_Early_blight,Tomato_Late_blight,SYMPTOM_REGION,PARTIAL,MINOR,FOCAL,HIGH,The erroneous Late-blight CAM focuses on a visibly severely damaged portion of the leaf.,LEAF_AND_BACKGROUND,NONE,MODERATE,FOCAL,HIGH,The Early-blight true-class CAM shifts toward the lower leaf base and adjacent background rather than the dominant damaged region.
XAI_019,external,PD_EXT_0001,0.9995757937431335,Tomato_Bacterial_spot,Tomato_Septoria_leaf_spot,SYMPTOM_REGION,PARTIAL,MINOR,MULTIFOCAL,HIGH,Erroneous Septoria attention overlaps visibly abnormal areas on multiple leaves.,LEAF_AND_BACKGROUND,PARTIAL,MODERATE,MULTIFOCAL,MEDIUM,Bacterial-spot true-class attention includes a symptomatic lower leaf but also a strong upper edge/background component.
XAI_020,external,PD_EXT_0012,0.997334361076355,Tomato_Early_blight,Tomato_Septoria_leaf_spot,LEAF_AND_BACKGROUND,PARTIAL,MODERATE,FOCAL,MEDIUM,Erroneous Septoria attention lies near yellow-brown lower plant tissue but includes substantial surrounding scene context.,BACKGROUND,NONE,DOMINANT,FOCAL,MEDIUM,Early-blight true-class attention shifts mainly to lower background/ground rather than the visible abnormal leaf tissue.
XAI_021,external,PD_EXT_0023,0.9999958276748656,Tomato_Late_blight,Tomato_Early_blight,SYMPTOM_REGION,STRONG,MINOR,FOCAL,HIGH,The highly confident erroneous Early-blight CAM is strongly centered on the visibly damaged leaf region.,BACKGROUND,NONE,DOMINANT,FOCAL,HIGH,Late-blight true-class attention moves to the lower edge/background rather than the main visible lesion.
XAI_022,external,PD_EXT_0029,0.9889935851097108,Tomato_Leaf_Mold,Tomato_Early_blight,LEAF_AND_BACKGROUND,NONE,MODERATE,FOCAL,LOW,Erroneous Early-blight attention lies mainly in upper clutter rather than the visually distinguishable abnormal central foliage.,LEAF_AND_BACKGROUND,NONE,MODERATE,FOCAL,LOW,"Leaf-Mold true-class CAM is also concentrated in upper clutter, with no reliable symptom-region localization."
XAI_023,external,PD_EXT_0035,0.9999233484268188,Tomato_Septoria_leaf_spot,Tomato_Early_blight,BACKGROUND,NONE,DOMINANT,FOCAL,HIGH,Erroneous Early-blight attention is dominated by the upper colored background rather than the visibly spotted leaves.,BACKGROUND,NONE,DOMINANT,FOCAL,HIGH,Septoria true-class attention also concentrates mainly in the upper background rather than the spotted leaves.
XAI_024,external,PD_EXT_0047,0.97798490524292,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato_Late_blight,LEAF_AND_BACKGROUND,WEAK,MODERATE,MULTIFOCAL,MEDIUM,Late-blight prediction attention is split across peripheral foliage and scene context rather than the central curled/yellow leaves.,LEAF_AND_BACKGROUND,WEAK,MODERATE,FOCAL,MEDIUM,Yellow-leaf-curl true-class attention remains peripheral and only weakly aligned with visibly altered foliage.
XAI_025,external,PD_EXT_0068,0.9331840872764589,Tomato__Tomato_mosaic_virus,Tomato_Late_blight,BACKGROUND,NONE,DOMINANT,MULTIFOCAL,HIGH,Erroneous Late-blight hotspots are concentrated near lower peripheral/background areas and largely miss the central mottled leaf.,SYMPTOM_REGION,STRONG,MINOR,MULTIFOCAL,HIGH,Mosaic-virus true-class attention shifts prominently onto the central visibly mottled leaf.
XAI_026,external,PD_EXT_0074,0.9657007455825806,Tomato_healthy,Tomato_Late_blight,BACKGROUND,NOT_APPLICABLE,DOMINANT,FOCAL,HIGH,Late-blight prediction attention is dominated by upper-right scene context in an image labelled healthy.,NON_SYMPTOM_LEAF,NOT_APPLICABLE,MINOR,FOCAL,HIGH,Healthy true-class attention shifts back toward lower plant tissue rather than the external scene context.
XAI_032,external,PD_EXT_0011,0.9999966621398926,Tomato_Early_blight,Tomato_Late_blight,NON_SYMPTOM_LEAF,NONE,MINOR,FOCAL,HIGH,The 100%-confidence Late-blight prediction focuses away from the main visibly damaged central region.,SYMPTOM_REGION,STRONG,NONE,FOCAL,HIGH,Early-blight true-class attention relocates directly onto the prominent visible lesion.
XAI_033,external,PD_EXT_0020,0.9999936819076538,Tomato_Late_blight,Tomato_Leaf_Mold,SYMPTOM_REGION,PARTIAL,NONE,FOCAL,HIGH,Leaf-Mold prediction attention lies on visibly damaged upper leaf tissue but covers only one portion of the multi-leaf abnormalities.,SYMPTOM_REGION,PARTIAL,NONE,MULTIFOCAL,HIGH,"Late-blight true-class attention moves toward other visibly damaged leaf areas, producing a different multifocal pattern."
