paper_id,placement,short_name,proposed_title,upstream_part,source_png,source_png_sha256,source_pdf,source_pdf_sha256,selection_reason,source_integrity_verified
Figure_1,MAIN,External Confusion Matrix,Normalized confusion matrix of the frozen Improved ConvNeXt-Tiny on PlantDoc,PART19,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_Confusion_Matrix_Normalized.png,903f6ed0f74d707feb57149b282ba60adc066a3e961f2e9f2c6a2be90ee57a44,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_Confusion_Matrix_Normalized.pdf,56c7dbba90263f9a0640bc6c0c544d861650cf9541d06229e088fb35c956890f,Shows the external class-confusion structure directly and cannot be replaced by an overall metric.,True
Figure_2,MAIN,Strict Domain Generalization,Strict shared-8-class internal versus external performance,PART20,D:\Tomato_Disease_Research\results\domain_generalization\figures\Strict_Shared8_Internal_vs_External_Performance.png,f1db649e1c719bb79db7f5be0fdfbdcaa8810a358a69d1e677c49f0451f71c58,D:\Tomato_Disease_Research\results\domain_generalization\figures\Strict_Shared8_Internal_vs_External_Performance.pdf,157ee220d1753896412eef68f144ae496e561cc44a39ba0f987b229671cc7231,Primary domain-generalization figure using the same eight ground-truth classes.,True
Figure_3,MAIN,Class-wise Domain Degradation,Shared-class F1 degradation from PlantVillage to PlantDoc,PART20,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Classwise_F1_Degradation.png,7881849e673475d2ffa1b86e28a45a8fb7137b9e447b60253da15b69192e2af5,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Classwise_F1_Degradation.pdf,abf593f0afc255f5d28e81f7c24825bd6d786f68b555ef998fda156bdbf5e960,Identifies which disease classes drive the external generalization failure.,True
Figure_4,MAIN,Calibration Shift,Internal versus external reliability diagram for the frozen final model,PART20,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Reliability_Diagram_Internal_vs_External.png,e3a9543c8a5e3d02f27a9de83b3bf2021311c405cc7e00710d0e6eba090b23cb,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Reliability_Diagram_Internal_vs_External.pdf,837c97b524706470f5fd9df004ed91a70a9c816e7ab482ade3b8c242bb379033,Directly demonstrates severe external overconfidence and calibration shift.,True
Figure_5,MAIN,Representative External Errors Grad-CAM++,Representative external errors with predicted-class and true-class Grad-CAM++ attention,PART21,D:\Tomato_Disease_Research\results\xai_gradcampp\audit\figures\External_Representative_Error_Predicted_vs_True_GradCAMpp.png,5855f3fcd1e3bbe8989aa58099563e0430b536f385546de3ef93d00d7c39ce90,D:\Tomato_Disease_Research\results\xai_gradcampp\audit\figures\External_Representative_Error_Predicted_vs_True_GradCAMpp.pdf,9dda77a714cdf30b353c3b8f24315fb181507cf2d3127e4fd9a7912f0a0bd1c6,Provides essential image-level qualitative evidence for spatial attention shifts during misclassification.,True
Figure_6,MAIN,External Correct vs Wrong XAI,Semantic Grad-CAM++ comparison of selected external correct and wrong predictions,PART22,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Correct_vs_Wrong_XAI_Comparison.png,7d646ed9e6feb299ed0160726ce68e0cdc4145be44b7872a92fa1fa1aaa0503c,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Correct_vs_Wrong_XAI_Comparison.pdf,7a5f1b4cf8f39dbfe39288daa309484bc0391057ad1801518e76f828af2f6aa6,Combines symptom alignment and background/context patterns in one non-redundant XAI figure.,True
Figure_7,MAIN,True-Class Attention Shift,Attention changes after switching Grad-CAM++ from predicted to true class in external errors,PART22,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Wrong_True_Target_Attention_Shifts.png,645e16c53f9c0edbf2014eefc3772b613c3e353032d78d1f9d8d3d89827406d4,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Wrong_True_Target_Attention_Shifts.pdf,d06c444790a20b0c948abd588f009b6636d259a73fb01827b5dc8131f698fbdb,Summarizes whether true-class targeting improves symptom localization or reduces background attention.,True
Supplementary_Figure_S1,SUPPLEMENTARY,Overall Domain Comparison,Overall internal versus external performance,PART20,D:\Tomato_Disease_Research\results\domain_generalization\figures\Internal_vs_External_Overall_Performance.png,878b44bea9d17d9150364feeb3520bfd1069a08690220bb03e67f36d94c25a92,D:\Tomato_Disease_Research\results\domain_generalization\figures\Internal_vs_External_Overall_Performance.pdf,ca671b40000dcc2e6a69f4e9262cd47601d83d4e49ecbb716452802e65e28e45,"Useful supporting view, but strict shared-class Figure 2 is more methodologically comparable.",True
Supplementary_Figure_S2,SUPPLEMENTARY,Accuracy vs Confidence Shift,Accuracy-confidence domain shift,PART20,D:\Tomato_Disease_Research\results\domain_generalization\figures\Accuracy_vs_Confidence_Domain_Shift.png,a98baa811274ae2684adccc8beb6de2c7d6ac6f3a8dbc321523b1b516a8725c9,D:\Tomato_Disease_Research\results\domain_generalization\figures\Accuracy_vs_Confidence_Domain_Shift.pdf,d0dc7392d74382147e626b9b5e3dfe718a9bd90109ff90015324953e938909eb,Supports the reliability diagram without duplicating calibration content in the main manuscript.,True
Supplementary_Figure_S3,SUPPLEMENTARY,External ROC Curves,External PlantDoc ROC curves,PART19,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_ROC_Curves.png,b95756a4ae8af7ceb685e3e44204941ad8d328c2ae704e8f5c9f183d964b21aa,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_ROC_Curves.pdf,dbbeee97104aa1dfc23519a6c21e3a1312ac021e397e12c0dcb845f41065dace,Useful discrimination evidence but secondary to external classification performance.,True
Supplementary_Figure_S4,SUPPLEMENTARY,External PR Curves,External PlantDoc precision-recall curves,PART19,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_PR_Curves.png,ce2fa18de4ac6c758cbdb6a03d7bdadc5073e709421fa8931f646c58489c1ce3,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_PR_Curves.pdf,a9dadbe8e298267ee39ebe633f8ae2aa95bbce554c0cc42acfa68b69115dc7ce,Useful under class imbalance but not required as a primary manuscript figure.,True
Supplementary_Figure_S5,SUPPLEMENTARY,High-Confidence XAI,Selected high-confidence external correct versus wrong Grad-CAM++ patterns,PART22,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_High_Confidence_Correct_vs_Wrong_XAI.png,756bac65cf31aca5c54ede14e62c7ba703ea4642f39b3d38d4edee97b5fea478,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_High_Confidence_Correct_vs_Wrong_XAI.pdf,fce7a529c960aba9e224252266114aa4647a94fc3e8145c491653b2f39ed30fc,Supports the overconfidence discussion while avoiding another main-paper calibration/XAI chart.,True
Supplementary_Figure_S6,SUPPLEMENTARY,Wrong-Case CAM Overlap,Predicted-versus-true Grad-CAM++ overlap across selected misclassifications,PART22,D:\Tomato_Disease_Research\results\xai_interpretation\figures\Wrong_Case_CAM_Overlap_by_Semantic_Shift.png,354fc62815aa00ee7ee642bb56d00968c75c74fd90dddbd992341facf39e7e94,D:\Tomato_Disease_Research\results\xai_interpretation\figures\Wrong_Case_CAM_Overlap_by_Semantic_Shift.pdf,b58f6b9d7436e5bd5add9936266410dbada1e6afd8d5bd6bf35dc50472faee38,Quantitative supporting analysis of competing-class spatial evidence.,True
