xai_case_id,domain,sample_id,confidence,true_class_name,predicted_class_name,predicted_cam_semantic_region,predicted_cam_disease_alignment,predicted_cam_background_bias,predicted_cam_attention_focus,predicted_cam_annotation_confidence,predicted_cam_note,true_cam_semantic_region,true_cam_disease_alignment,true_cam_background_bias,true_cam_attention_focus,true_cam_annotation_confidence,true_cam_note,cosine_similarity,pearson_correlation,weighted_overlap,mean_squared_difference,mean_absolute_difference,normalized_center_distance,normalized_peak_distance,selection_roles,disease_alignment_shift,background_bias_shift,predicted_off_leaf,true_leaf_or_symptom,off_leaf_to_relevant_tissue_shift,predicted_symptom_region,true_symptom_region,shift_to_symptom_region
XAI_009,internal,PV_TEST_00429,0.9998940833150056,Tomato_Early_blight,Tomato_Late_blight,SYMPTOM_REGION,PARTIAL,MINOR,FOCAL,HIGH,The erroneous Late-blight CAM focuses on a visibly severely damaged portion of the leaf.,LEAF_AND_BACKGROUND,NONE,MODERATE,FOCAL,HIGH,The Early-blight true-class CAM shifts toward the lower leaf base and adjacent background rather than the dominant damaged region.,0.0064529443071681,-0.4732206456029846,0.0232923009323077,0.1282302247593722,0.2837433982984154,0.4142862230641793,0.4090561231204022,internal_all_incorrect,WORSE_TRUE_TARGET,INCREASED_TRUE_TARGET,False,False,False,True,False,False
XAI_019,external,PD_EXT_0001,0.9995757937431335,Tomato_Bacterial_spot,Tomato_Septoria_leaf_spot,SYMPTOM_REGION,PARTIAL,MINOR,MULTIFOCAL,HIGH,Erroneous Septoria attention overlaps visibly abnormal areas on multiple leaves.,LEAF_AND_BACKGROUND,PARTIAL,MODERATE,MULTIFOCAL,MEDIUM,Bacterial-spot true-class attention includes a symptomatic lower leaf but also a strong upper edge/background component.,0.2789537382348363,-0.173832744915098,0.2962985336144421,0.1154401215992771,0.2471718267922056,0.1918880506805783,0.6101374360622323,external_representative_incorrect,UNCHANGED,INCREASED_TRUE_TARGET,False,False,False,True,False,False
XAI_020,external,PD_EXT_0012,0.997334361076355,Tomato_Early_blight,Tomato_Septoria_leaf_spot,LEAF_AND_BACKGROUND,PARTIAL,MODERATE,FOCAL,MEDIUM,Erroneous Septoria attention lies near yellow-brown lower plant tissue but includes substantial surrounding scene context.,BACKGROUND,NONE,DOMINANT,FOCAL,MEDIUM,Early-blight true-class attention shifts mainly to lower background/ground rather than the visible abnormal leaf tissue.,0.31983491770683,-0.0069757837601898,0.2791846366474583,0.0847316544906674,0.2063296187232271,0.1507832452550979,0.104687152734787,external_representative_incorrect,WORSE_TRUE_TARGET,INCREASED_TRUE_TARGET,False,False,False,False,False,False
XAI_021,external,PD_EXT_0023,0.9999958276748656,Tomato_Late_blight,Tomato_Early_blight,SYMPTOM_REGION,STRONG,MINOR,FOCAL,HIGH,The highly confident erroneous Early-blight CAM is strongly centered on the visibly damaged leaf region.,BACKGROUND,NONE,DOMINANT,FOCAL,HIGH,Late-blight true-class attention moves to the lower edge/background rather than the main visible lesion.,0.2893106266220698,-0.0401211553287839,0.3108646712328253,0.0583529883709934,0.157188543210441,0.0586912844247182,0.3075755954040139,external_representative_incorrect;external_high_confidence_incorrect,WORSE_TRUE_TARGET,INCREASED_TRUE_TARGET,False,False,False,True,False,False
XAI_022,external,PD_EXT_0029,0.9889935851097108,Tomato_Leaf_Mold,Tomato_Early_blight,LEAF_AND_BACKGROUND,NONE,MODERATE,FOCAL,LOW,Erroneous Early-blight attention lies mainly in upper clutter rather than the visually distinguishable abnormal central foliage.,LEAF_AND_BACKGROUND,NONE,MODERATE,FOCAL,LOW,"Leaf-Mold true-class CAM is also concentrated in upper clutter, with no reliable symptom-region localization.",0.7062644493254779,0.5680059519864831,0.4939754697188966,0.0525477021741857,0.139756283173773,0.1203092456342241,0.3863795377316236,external_representative_incorrect,UNCHANGED,UNCHANGED,False,False,False,False,False,False
XAI_023,external,PD_EXT_0035,0.9999233484268188,Tomato_Septoria_leaf_spot,Tomato_Early_blight,BACKGROUND,NONE,DOMINANT,FOCAL,HIGH,Erroneous Early-blight attention is dominated by the upper colored background rather than the visibly spotted leaves.,BACKGROUND,NONE,DOMINANT,FOCAL,HIGH,Septoria true-class attention also concentrates mainly in the upper background rather than the spotted leaves.,0.0765386084320857,-0.2381526060967637,0.110179738372261,0.1004259864520268,0.213794325874928,0.1884879800305151,0.2942093652422227,external_representative_incorrect,UNCHANGED,UNCHANGED,True,False,False,False,False,False
XAI_024,external,PD_EXT_0047,0.97798490524292,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato_Late_blight,LEAF_AND_BACKGROUND,WEAK,MODERATE,MULTIFOCAL,MEDIUM,Late-blight prediction attention is split across peripheral foliage and scene context rather than the central curled/yellow leaves.,LEAF_AND_BACKGROUND,WEAK,MODERATE,FOCAL,MEDIUM,Yellow-leaf-curl true-class attention remains peripheral and only weakly aligned with visibly altered foliage.,0.0155892997900377,-0.3401052501469275,0.0405517683847552,0.0964866956491391,0.2144942182911284,0.3481523460917579,0.5073411882952807,external_representative_incorrect,UNCHANGED,UNCHANGED,False,False,False,False,False,False
XAI_025,external,PD_EXT_0068,0.9331840872764589,Tomato__Tomato_mosaic_virus,Tomato_Late_blight,BACKGROUND,NONE,DOMINANT,MULTIFOCAL,HIGH,Erroneous Late-blight hotspots are concentrated near lower peripheral/background areas and largely miss the central mottled leaf.,SYMPTOM_REGION,STRONG,MINOR,MULTIFOCAL,HIGH,Mosaic-virus true-class attention shifts prominently onto the central visibly mottled leaf.,0.211678947577935,-0.1272988934251241,0.2001233764276932,0.0938050830416618,0.2245721977331383,0.2466434966806054,0.5505386115198792,external_representative_incorrect,IMPROVED_TRUE_TARGET,REDUCED_TRUE_TARGET,True,True,True,False,True,True
XAI_026,external,PD_EXT_0074,0.9657007455825806,Tomato_healthy,Tomato_Late_blight,BACKGROUND,NOT_APPLICABLE,DOMINANT,FOCAL,HIGH,Late-blight prediction attention is dominated by upper-right scene context in an image labelled healthy.,NON_SYMPTOM_LEAF,NOT_APPLICABLE,MINOR,FOCAL,HIGH,Healthy true-class attention shifts back toward lower plant tissue rather than the external scene context.,0.0630512664765511,-0.2737919479940586,0.0848288147286084,0.1435967404238868,0.2690568616517045,0.3840906931517477,0.4304932735426008,external_representative_incorrect,NOT_COMPARABLE,REDUCED_TRUE_TARGET,True,True,True,False,False,False
XAI_032,external,PD_EXT_0011,0.9999966621398926,Tomato_Early_blight,Tomato_Late_blight,NON_SYMPTOM_LEAF,NONE,MINOR,FOCAL,HIGH,The 100%-confidence Late-blight prediction focuses away from the main visibly damaged central region.,SYMPTOM_REGION,STRONG,NONE,FOCAL,HIGH,Early-blight true-class attention relocates directly onto the prominent visible lesion.,0.18214702485755,-0.0471418773294193,0.221061679080113,0.0431368718261008,0.1183187320049888,0.1104775488672675,0.2283475705197133,external_high_confidence_incorrect,IMPROVED_TRUE_TARGET,REDUCED_TRUE_TARGET,False,True,False,False,True,True
