annotation_id,xai_case_id,domain,dataset,sample_id,selection_roles,correct_case,confidence,true_class_index,true_class_name,predicted_class_index,predicted_class_name,cam_type,cam_target_index,cam_target_name,semantic_reference,cam_path,heatmap_path,overlay_path,cam_area_ge_050,cam_spatial_entropy,attention_semantic_region,disease_region_alignment,background_bias,attention_focus,annotation_confidence,annotation_note
XAI_001_PRIMARY,XAI_001,internal,PlantVillage,PV_TEST_00230,internal_representative_correct,True,0.9999992640173208,0,Tomato_Bacterial_spot,0,Tomato_Bacterial_spot,PRIMARY_PREDICTED_CLASS,0,Tomato_Bacterial_spot,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_001\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_001\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_001\primary_predicted_class_overlay.png,0.0756138392857142,0.9091946305403872,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_002_PRIMARY,XAI_002,internal,PlantVillage,PV_TEST_00330,internal_representative_correct,True,0.9999991479278652,1,Tomato_Early_blight,1,Tomato_Early_blight,PRIMARY_PREDICTED_CLASS,1,Tomato_Early_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_002\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_002\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_002\primary_predicted_class_overlay.png,0.2291733099489795,0.9504229704011028,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_003_PRIMARY,XAI_003,internal,PlantVillage,PV_TEST_00497,internal_representative_correct,True,0.9999985560595678,2,Tomato_Late_blight,2,Tomato_Late_blight,PRIMARY_PREDICTED_CLASS,2,Tomato_Late_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_003\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_003\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_003\primary_predicted_class_overlay.png,0.0363520408163265,0.8617528753871327,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_004_PRIMARY,XAI_004,internal,PlantVillage,PV_TEST_00850,internal_representative_correct,True,0.9999993493195394,3,Tomato_Leaf_Mold,3,Tomato_Leaf_Mold,PRIMARY_PREDICTED_CLASS,3,Tomato_Leaf_Mold,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_004\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_004\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_004\primary_predicted_class_overlay.png,0.0858577806122449,0.8903646396445924,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_005_PRIMARY,XAI_005,internal,PlantVillage,PV_TEST_01070,internal_representative_correct,True,0.9999994719263872,4,Tomato_Septoria_leaf_spot,4,Tomato_Septoria_leaf_spot,PRIMARY_PREDICTED_CLASS,4,Tomato_Septoria_leaf_spot,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_005\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_005\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_005\primary_predicted_class_overlay.png,0.0602479272959183,0.8886524421436779,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_006_PRIMARY,XAI_006,internal,PlantVillage,PV_TEST_01736,internal_representative_correct,True,0.9999991574045416,7,Tomato__Tomato_YellowLeaf__Curl_Virus,7,Tomato__Tomato_YellowLeaf__Curl_Virus,PRIMARY_PREDICTED_CLASS,7,Tomato__Tomato_YellowLeaf__Curl_Virus,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_006\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_006\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_006\primary_predicted_class_overlay.png,0.0298349808673469,0.8432993613674491,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_007_PRIMARY,XAI_007,internal,PlantVillage,PV_TEST_02143,internal_representative_correct,True,0.9999991182413416,8,Tomato__Tomato_mosaic_virus,8,Tomato__Tomato_mosaic_virus,PRIMARY_PREDICTED_CLASS,8,Tomato__Tomato_mosaic_virus,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_007\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_007\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_007\primary_predicted_class_overlay.png,0.2093032525510204,0.9775495842415908,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_008_PRIMARY,XAI_008,internal,PlantVillage,PV_TEST_02376,internal_representative_correct,True,0.9999972335642836,9,Tomato_healthy,9,Tomato_healthy,PRIMARY_PREDICTED_CLASS,9,Tomato_healthy,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_008\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_008\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_008\primary_predicted_class_overlay.png,0.2977319834183674,0.9856621311596128,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_009_PRIMARY,XAI_009,internal,PlantVillage,PV_TEST_00429,internal_all_incorrect,False,0.9998940833150056,1,Tomato_Early_blight,2,Tomato_Late_blight,PRIMARY_PREDICTED_CLASS,2,Tomato_Late_blight,ERRONEOUS_PREDICTED_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\primary_predicted_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\primary_predicted_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\primary_predicted_class_overlay.png,0.0748565051020408,0.9050198105854496,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
XAI_009_TRUE,XAI_009,internal,PlantVillage,PV_TEST_00429,internal_all_incorrect,False,0.9998940833150056,1,Tomato_Early_blight,2,Tomato_Late_blight,SECONDARY_TRUE_CLASS,1,Tomato_Early_blight,TRUE_CLASS,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\secondary_true_class_cam.npy,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\secondary_true_class_heatmap.png,D:\Tomato_Disease_Research\results\xai_gradcampp\generation\locked_cases_d631f3c298ac\XAI_009\secondary_true_class_overlay.png,0.0964405293367346,0.9249174367701268,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,
