paper_id,placement,short_name,source_png,source_png_sha256,packaged_png,packaged_png_sha256,png_byte_identical,source_pdf,source_pdf_sha256,packaged_pdf,packaged_pdf_sha256,pdf_byte_identical,caption,caption_file,caption_sha256
Figure_1,MAIN,External Confusion Matrix,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_Confusion_Matrix_Normalized.png,903f6ed0f74d707feb57149b282ba60adc066a3e961f2e9f2c6a2be90ee57a44,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_1_External_Confusion_Matrix.png,903f6ed0f74d707feb57149b282ba60adc066a3e961f2e9f2c6a2be90ee57a44,True,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_Confusion_Matrix_Normalized.pdf,56c7dbba90263f9a0640bc6c0c544d861650cf9541d06229e088fb35c956890f,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_1_External_Confusion_Matrix.pdf,56c7dbba90263f9a0640bc6c0c544d861650cf9541d06229e088fb35c956890f,True,"Figure 1. Normalized confusion matrix for the frozen Improved ConvNeXt-Tiny on the independent PlantDoc tomato test subset (n=79). Ground-truth PlantDoc labels were mapped to eight corresponding PlantVillage tomato classes while the classifier retained its original 10-class output space. External accuracy was 37.97%, with substantial class-dependent misclassification. Values represent row-normalized proportions within each ground-truth class.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Figure_1_caption.txt,c94c1c4722e1400cb88d94a2ea406752ed4519837893334ba4b3cdf8dd08622f
Figure_2,MAIN,Strict Domain Generalization,D:\Tomato_Disease_Research\results\domain_generalization\figures\Strict_Shared8_Internal_vs_External_Performance.png,f1db649e1c719bb79db7f5be0fdfbdcaa8810a358a69d1e677c49f0451f71c58,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_2_Strict_Domain_Generalization.png,f1db649e1c719bb79db7f5be0fdfbdcaa8810a358a69d1e677c49f0451f71c58,True,D:\Tomato_Disease_Research\results\domain_generalization\figures\Strict_Shared8_Internal_vs_External_Performance.pdf,157ee220d1753896412eef68f144ae496e561cc44a39ba0f987b229671cc7231,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_2_Strict_Domain_Generalization.pdf,157ee220d1753896412eef68f144ae496e561cc44a39ba0f987b229671cc7231,True,"Figure 2. Strict shared-class internal-to-external domain generalization of the frozen Improved ConvNeXt-Tiny. The comparison is restricted to the eight ground-truth classes shared by PlantVillage and PlantDoc while preserving the original 10-way classifier output space. The figure demonstrates the marked loss of classification performance under external domain shift; the external test achieved 37.97% accuracy, 30.10% Macro F1, and 34.90% balanced accuracy.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Figure_2_caption.txt,2e99730dfa862b89ce319557bff031eb62a1142f125d200e3860ee9ab1dda6a4
Figure_3,MAIN,Class-wise Domain Degradation,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Classwise_F1_Degradation.png,7881849e673475d2ffa1b86e28a45a8fb7137b9e447b60253da15b69192e2af5,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_3_Class_wise_Domain_Degradation.png,7881849e673475d2ffa1b86e28a45a8fb7137b9e447b60253da15b69192e2af5,True,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Classwise_F1_Degradation.pdf,abf593f0afc255f5d28e81f7c24825bd6d786f68b555ef998fda156bdbf5e960,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_3_Class_wise_Domain_Degradation.pdf,abf593f0afc255f5d28e81f7c24825bd6d786f68b555ef998fda156bdbf5e960,True,"Figure 3. Class-wise F1 degradation across the eight classes shared between the internal PlantVillage test partition and external PlantDoc. The largest declines occurred for Bacterial Spot (100.00 percentage points), Mosaic Virus (100.00 points), Leaf Mold (83.33 points), and Healthy (77.78 points), illustrating that the external generalization failure was strongly class dependent.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Figure_3_caption.txt,f0d4a05f12fe68c83b17845a92e5e746d0b7adff6b9042e43a6c42a180fdcee2
Figure_4,MAIN,Calibration Shift,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Reliability_Diagram_Internal_vs_External.png,e3a9543c8a5e3d02f27a9de83b3bf2021311c405cc7e00710d0e6eba090b23cb,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_4_Calibration_Shift.png,e3a9543c8a5e3d02f27a9de83b3bf2021311c405cc7e00710d0e6eba090b23cb,True,D:\Tomato_Disease_Research\results\domain_generalization\figures\Shared8_Reliability_Diagram_Internal_vs_External.pdf,837c97b524706470f5fd9df004ed91a70a9c816e7ab482ade3b8c242bb379033,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_4_Calibration_Shift.pdf,837c97b524706470f5fd9df004ed91a70a9c816e7ab482ade3b8c242bb379033,True,"Figure 4. Reliability analysis of the frozen Improved ConvNeXt-Tiny under internal and external evaluation. Internal predictions were nearly calibrated, whereas PlantDoc produced severe overconfidence. Expected calibration error increased from 0.000558 internally to 0.548602 externally, while the confidence-accuracy gap increased from 0.0234 to 54.8602 percentage points. No post-hoc external calibration was performed.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Figure_4_caption.txt,72e9072f8dccf426a3f15766939ca6ec0126d86ee65f925010844e6b136e6c4b
Figure_5,MAIN,Representative External Errors Grad-CAM++,D:\Tomato_Disease_Research\results\xai_gradcampp\audit\figures\External_Representative_Error_Predicted_vs_True_GradCAMpp.png,5855f3fcd1e3bbe8989aa58099563e0430b536f385546de3ef93d00d7c39ce90,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_5_Representative_External_Errors_Grad_CAM.png,5855f3fcd1e3bbe8989aa58099563e0430b536f385546de3ef93d00d7c39ce90,True,D:\Tomato_Disease_Research\results\xai_gradcampp\audit\figures\External_Representative_Error_Predicted_vs_True_GradCAMpp.pdf,9dda77a714cdf30b353c3b8f24315fb181507cf2d3127e4fd9a7912f0a0bd1c6,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_5_Representative_External_Errors_Grad_CAM.pdf,9dda77a714cdf30b353c3b8f24315fb181507cf2d3127e4fd9a7912f0a0bd1c6,True,Figure 5. Representative external misclassifications with predicted-class and ground-truth-class Grad-CAM++ maps. Cases were chosen using the deterministic case-selection protocol locked before semantic interpretation. The paired maps show that competing disease targets can rely on spatially different image evidence. Grad-CAM++ is a post-hoc explanation and the visual overlays should not be interpreted as lesion-segmentation ground truth or causal evidence.,D:\Tomato_Disease_Research\results\paper_final\figures\captions\Figure_5_caption.txt,1fa37242f1bddef19bbd18e8e3488a41afe89314c66afb6dff364609ac3e5142
Figure_6,MAIN,External Correct vs Wrong XAI,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Correct_vs_Wrong_XAI_Comparison.png,7d646ed9e6feb299ed0160726ce68e0cdc4145be44b7872a92fa1fa1aaa0503c,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_6_External_Correct_vs_Wrong_XAI.png,7d646ed9e6feb299ed0160726ce68e0cdc4145be44b7872a92fa1fa1aaa0503c,True,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Correct_vs_Wrong_XAI_Comparison.pdf,7a5f1b4cf8f39dbfe39288daa309484bc0391057ad1801518e76f828af2f6aa6,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_6_External_Correct_vs_Wrong_XAI.pdf,7a5f1b4cf8f39dbfe39288daa309484bc0391057ad1801518e76f828af2f6aa6,True,"Figure 6. Structured semantic comparison of Grad-CAM++ attention for selected external correct and incorrect predictions. Among alignment-applicable selected cases, symptom-region alignment was 80.00% for correct predictions and 40.00% for incorrect predictions. Moderate or dominant background/context concern occurred in 27.27% of selected correct cases versus 70.59% of selected wrong cases. These percentages are descriptive of the deterministically stratified XAI cohort and are not population-level PlantDoc estimates.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Figure_6_caption.txt,b00030b037919ad9affddc7a6e2e5ff3f88e56939b0594e5a830febaf2c001f4
Figure_7,MAIN,True-Class Attention Shift,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Wrong_True_Target_Attention_Shifts.png,645e16c53f9c0edbf2014eefc3772b613c3e353032d78d1f9d8d3d89827406d4,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_7_True_Class_Attention_Shift.png,645e16c53f9c0edbf2014eefc3772b613c3e353032d78d1f9d8d3d89827406d4,True,D:\Tomato_Disease_Research\results\xai_interpretation\figures\External_Wrong_True_Target_Attention_Shifts.pdf,d06c444790a20b0c948abd588f009b6636d259a73fb01827b5dc8131f698fbdb,D:\Tomato_Disease_Research\results\paper_final\figures\main\Figure_7_True_Class_Attention_Shift.pdf,d06c444790a20b0c948abd588f009b6636d259a73fb01827b5dc8131f698fbdb,True,"Figure 7. Semantic attention changes when Grad-CAM++ targeting was switched from the erroneous predicted class to the ground-truth class in selected external errors. Among 14 alignment-comparable cases, true-class targeting improved visible disease-region alignment in 5 cases. Across 17 selected external errors, background/context attention was reduced in 8 cases. The effect was not universal; therefore these observations are descriptive and do not establish causal model reasoning.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Figure_7_caption.txt,22016042a74a38dfe47737e3a00a20fa57fc62701aedd7eb4c4db6ba519a0714
Supplementary_Figure_S1,SUPPLEMENTARY,Overall Domain Comparison,D:\Tomato_Disease_Research\results\domain_generalization\figures\Internal_vs_External_Overall_Performance.png,878b44bea9d17d9150364feeb3520bfd1069a08690220bb03e67f36d94c25a92,D:\Tomato_Disease_Research\results\paper_final\figures\supplementary\Supplementary_Figure_S1_Overall_Domain_Comparison.png,878b44bea9d17d9150364feeb3520bfd1069a08690220bb03e67f36d94c25a92,True,D:\Tomato_Disease_Research\results\domain_generalization\figures\Internal_vs_External_Overall_Performance.pdf,ca671b40000dcc2e6a69f4e9262cd47601d83d4e49ecbb716452802e65e28e45,D:\Tomato_Disease_Research\results\paper_final\figures\supplementary\Supplementary_Figure_S1_Overall_Domain_Comparison.pdf,ca671b40000dcc2e6a69f4e9262cd47601d83d4e49ecbb716452802e65e28e45,True,"Supplementary Figure S1. Overall internal versus external performance of the frozen Improved ConvNeXt-Tiny. The internal independent PlantVillage test performance was near ceiling, whereas PlantDoc accuracy was 37.97% and Macro F1 was 30.10%. This overall comparison is provided as supporting evidence; the strict shared-class comparison in Figure 2 is the primary domain-generalization analysis.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Supplementary_Figure_S1_caption.txt,6db3c7cb2b083c64f8f1abaeb48cf5f5ede675b99c1431e9bc43ed5e02adb9d8
Supplementary_Figure_S2,SUPPLEMENTARY,Accuracy vs Confidence Shift,D:\Tomato_Disease_Research\results\domain_generalization\figures\Accuracy_vs_Confidence_Domain_Shift.png,a98baa811274ae2684adccc8beb6de2c7d6ac6f3a8dbc321523b1b516a8725c9,D:\Tomato_Disease_Research\results\paper_final\figures\supplementary\Supplementary_Figure_S2_Accuracy_vs_Confidence_Shift.png,a98baa811274ae2684adccc8beb6de2c7d6ac6f3a8dbc321523b1b516a8725c9,True,D:\Tomato_Disease_Research\results\domain_generalization\figures\Accuracy_vs_Confidence_Domain_Shift.pdf,d0dc7392d74382147e626b9b5e3dfe718a9bd90109ff90015324953e938909eb,D:\Tomato_Disease_Research\results\paper_final\figures\supplementary\Supplementary_Figure_S2_Accuracy_vs_Confidence_Shift.pdf,d0dc7392d74382147e626b9b5e3dfe718a9bd90109ff90015324953e938909eb,True,"Supplementary Figure S2. Accuracy and confidence shift from the internal shared-class subset to PlantDoc. Mean confidence changed from 99.97% internally to 92.83% externally, while external accuracy fell to 37.97%. The separation between confidence and accuracy illustrates severe external overconfidence.",D:\Tomato_Disease_Research\results\paper_final\figures\captions\Supplementary_Figure_S2_caption.txt,f58ea383de30e4ee98dcabe57a916c7f25ba24907cb919298561a2761103ccd4
Supplementary_Figure_S3,SUPPLEMENTARY,External ROC Curves,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_ROC_Curves.png,b95756a4ae8af7ceb685e3e44204941ad8d328c2ae704e8f5c9f183d964b21aa,D:\Tomato_Disease_Research\results\paper_final\figures\supplementary\Supplementary_Figure_S3_External_ROC_Curves.png,b95756a4ae8af7ceb685e3e44204941ad8d328c2ae704e8f5c9f183d964b21aa,True,D:\Tomato_Disease_Research\results\external_evaluation\figures\part19\PlantDoc_External_ROC_Curves.pdf,dbbeee97104aa1dfc23519a6c21e3a1312ac021e397e12c0dcb845f41065dace,D:\Tomato_Disease_Research\results\paper_final\figures\supplementary\Supplementary_Figure_S3_External_ROC_Curves.pdf,dbbeee97104aa1dfc23519a6c21e3a1312ac021e397e12c0dcb845f41065dace,True,Supplementary Figure S3. One-versus-rest receiver operating characteristic curves for the frozen Improved ConvNeXt-Tiny on PlantDoc. The external macro ROC-AUC was 0.7620. ROC-AUC describes score ranking and therefore can remain moderate despite poor argmax classification performance.,D:\Tomato_Disease_Research\results\paper_final\figures\captions\Supplementary_Figure_S3_caption.txt,5e5253b5a6ab762a683785956be93ddbbb2be2d8a6c2ee335cc6cf4e92b3ada6
